Clube;Pontos;Titulo;Gols;Estado
Atletico Mineiro;84;2;67;Minas Gerais
Flamengo;71;8;69;Rio de Janeiro
Palmeiras;66;10;58;Sao Paulo
Fortaleza;58;0;44;Ceara
Corinthians;57;7;40;Sao Paulo
Bragantino;56;0;55;Sao Paulo
Fluminense;54;4;38;Rio de Janeiro
America MG;53;0;41;Minas Gerais
Atletico GO;53;0;33;Goias
Santos;50;8;35;Sao Paulo
Ceara;50;0;39;Ceara
Internacional;48;3;44;Rio Grande do Sul
Sao Paulo;48;6;39;Sao Paulo
Athletico PR;47;1;41;Parana
Cuiaba;47;0;34;Mato Grosso
Juventude;46;0;36;Rio Grande do Sul
Gremio;43;2;44;Rio Grande do Sul
Bahia;43;2;42;Bahia
Sport Recife;38;1;24;Recife
Chapecoense;15;0;27;Santa Catarina
